Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50,SMA_200,Volatility_20,Cumulative_Max_Close,Drawdown
2023-01-02,1397.7021484375,1524.0,1526.5,1504.050048828125,1514.0,3801140,,,,,,1524.0,0.0
2023-01-03,1396.372314453125,1522.550048828125,1532.6500244140625,1515.0999755859375,1519.8499755859375,4551130,-0.0009514115301016979,,,,,1524.0,-0.0009514115301016979
2023-01-04,1370.9219970703125,1494.800048828125,1521.0,1491.0999755859375,1521.0,7059590,-0.018226001845626394,,,,,1524.0,-0.0191600729474245
2023-01-05,1352.9462890625,1475.199951171875,1505.9000244140625,1469.25,1505.9000244140625,9868404,-0.013112186925345548,,,,,1524.0,-0.03202102941478013
2023-01-06,1328.4591064453125,1448.5,1475.0,1446.5,1470.0,6443714,-0.018099208280657142,,,,,1524.0,-0.04954068241469811
2023-01-09,1361.4296875,1484.449951171875,1489.3499755859375,1448.199951171875,1448.199951171875,11498717,0.02481874433681397,,,,,1524.0,-0.025951475609005903
2023-01-10,1347.9481201171875,1469.75,1483.9000244140625,1454.050048828125,1482.0,7158624,-0.009902624982587205,,,,,1524.0,-0.0355971128608924
2023-01-11,1349.3236083984375,1471.25,1494.0,1464.0,1470.0,6173092,0.0010205817315869226,,,,,1524.0,-0.034612860892388464
2023-01-12,1357.898681640625,1480.5999755859375,1485.0,1455.0,1481.949951171875,6591385,0.006355123592820755,,,,,1524.0,-0.028477706308439932
2023-01-13,1379.03857421875,1503.6500244140625,1519.4000244140625,1468.0,1483.5,11610426,0.015568046203028763,,,,,1524.0,-0.013353002352977317
2023-01-16,1399.0780029296875,1525.5,1528.0,1502.300048828125,1510.0,6073063,0.014531290680124709,,,,,1525.5,0.0
2023-01-17,1411.9176025390625,1539.5,1542.199951171875,1524.0,1527.0,5922644,0.009177318911832266,,,,,1539.5,0.0
2023-01-18,1417.3287353515625,1545.4000244140625,1551.8499755859375,1539.5999755859375,1544.75,5843098,0.003832428979579472,,,,,1545.4000244140625,0.0
2023-01-19,1411.3673095703125,1538.9000244140625,1549.550048828125,1526.1500244140625,1539.9000244140625,6165284,-0.004206030734640653,,,,,1545.4000244140625,-0.004206030734640653
2023-01-20,1399.123779296875,1525.550048828125,1545.0,1524.0,1538.0,6496429,-0.008675011614884154,,,,,1545.4000244140625,-0.012844554984049239
2023-01-23,1419.71337890625,1548.0,1553.300048828125,1528.0999755859375,1535.0,4855020,0.014715971586196197,,,,,1548.0,0.0
2023-01-24,1423.2899169921875,1551.9000244140625,1568.800048828125,1549.75,1560.0,5200802,0.0025193956163194198,,,,,1551.9000244140625,0.0
2023-01-25,1415.1275634765625,1543.0,1556.0,1538.75,1547.0,4158617,-0.0057349212410914285,,,,,1551.9000244140625,-0.0057349212410914285
2023-01-27,1393.254150390625,1519.1500244140625,1550.949951171875,1507.4000244140625,1546.0,6209955,-0.015456886316226548,,,,,1551.9000244140625,-0.02110316353166186
2023-01-30,1411.275634765625,1538.800048828125,1544.0,1520.0,1528.800048828125,6964719,0.01293488075454663,1512.522509765625,,,,1551.9000244140625,-0.008441249680940954
2023-01-31,1406.6439208984375,1533.75,1548.9000244140625,1513.0,1548.9000244140625,9448126,-0.0032818096360023308,1513.010009765625,,,0.012361173603194999,1551.9000244140625,-0.01169535674240052
2023-02-01,1422.55615234375,1551.0999755859375,1555.050048828125,1528.050048828125,1542.199951171875,6194199,0.011312127521393656,1514.4375061035157,,,0.012593050406874706,1551.9000244140625,-0.0005155285878850613
2023-02-02,1452.5003662109375,1583.75,1586.949951171875,1552.0,1552.0,6916834,0.02104959379019311,1518.8850036621093,,,0.012498365348442448,1583.75,0.0
2023-02-03,1466.853515625,1599.4000244140625,1604.6500244140625,1573.0,1597.5,7040194,0.009881625517955905,1525.0950073242188,,,0.011988476783273907,1599.4000244140625,0.0
2023-02-06,1439.75244140625,1569.8499755859375,1598.0,1561.5999755859375,1598.0,4570612,-0.018475708626396137,1531.1625061035156,,,0.012025438383786828,1599.4000244140625,-0.018475708626396137
2023-02-07,1432.9197998046875,1562.4000244140625,1576.050048828125,1555.0999755859375,1569.0,4336238,-0.004745645308618984,1535.060009765625,,,0.011128062475372279,1599.4000244140625,-0.023133674775048796
2023-02-08,1458.691162109375,1590.5,1603.0,1565.5,1565.5,7983338,0.017985135142631448,1541.097509765625,,,0.011223029728759968,1599.4000244140625,-0.005564601899592292
2023-02-09,1482.9951171875,1617.0,1619.75,1586.050048828125,1596.199951171875,6904911,0.016661427224143432,1548.385009765625,,,0.01154372366965065,1617.0,0.0
2023-02-10,1475.2452392578125,1608.550048828125,1616.300048828125,1596.449951171875,1612.949951171875,4786762,-0.005225696457560325,1554.7825134277343,,,0.01175008211597805,1617.0,-0.005225696457560325
2023-02-13,1437.5511474609375,1567.449951171875,1597.0,1566.0,1597.0,4001199,-0.02555102198168635,1557.972509765625,,,0.013171115463052215,1617.0,-0.0306431965541899
2023-02-14,1461.213134765625,1593.25,1596.0,1578.1500244140625,1584.699951171875,5043736,0.016459886842853377,1561.360009765625,,,0.013273102953037966,1617.0,-0.014687693259121781
2023-02-15,1464.6983642578125,1597.050048828125,1599.0,1576.0,1584.0,3465747,0.0023850926270987394,1564.2375122070312,,,0.013173286420056511,1617.0,-0.012337632140924537
